Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Terry McLaurin,29,WAS,WR,17,17,117,82,1096,13.4,13,56,58.1,86,4.8,64.5,70.1,9.4,1,PBAP-2
Courtland Sutton,29,DEN,WR,17,13,135,81,1081,13.3,8,57,53.3,47,4.8,63.6,60.0,8.0,1,
A.J. Brown,27,PHI,WR,13,13,97,67,1079,16.1,7,51,62.9,67,5.2,83.0,69.1,11.1,0,AP-2
Davante Adams,32,2TM,WR,14,14,141,85,1063,12.5,8,49,46.8,71,6.1,75.9,60.3,7.5,0,
Zay Flowers,24,BAL,WR,17,15,116,74,1059,14.3,4,48,53.4,53,4.4,62.3,63.8,9.1,0,PB
Jakobi Meyers,28,LVR,WR,15,15,129,87,1027,11.8,4,52,55.8,43,5.8,68.5,67.4,8.0,0,
Calvin Ridley,30,TEN,WR,17,14,120,64,1017,15.9,4,40,44.2,63,3.8,59.8,53.3,8.5,1,
Nico Collins,25,HOU,WR,12,12,99,68,1006,14.8,7,48,56.6,67,5.7,83.8,68.7,10.2,0,PB
Mike Evans,31,TAM,WR,14,14,110,74,1004,13.6,11,53,62.7,57,5.3,71.7,67.3,9.1,0,PB
Jameson Williams,23,DET,WR,15,11,91,58,1001,17.3,7,41,52.7,82,3.9,66.7,63.7,11.0,0,AP CPoY-19
D.K. Metcalf,27,SEA,WR,15,12,108,66,992,15.0,5,35,49.1,71,4.4,66.1,61.1,9.2,2,
Darnell Mooney,27,ATL,WR,16,16,106,64,992,15.5,5,48,51.9,49,4.0,62.0,60.4,9.4,0,
Puka Nacua,23,LAR,WR,11,11,106,79,990,12.5,3,47,63.2,51,7.2,90.0,74.5,9.3,0,
Jauan Jennings,27,SFO,WR,15,10,113,77,975,12.7,6,47,54.9,45,5.1,65.0,68.1,8.6,1,
D.J. Moore,27,CHI,WR,17,17,140,98,966,9.9,6,43,47.1,44,5.8,56.8,70.0,6.9,1,
Tyreek Hill,30,MIA,WR,17,17,123,81,959,11.8,6,54,52.0,80,4.8,56.4,65.9,7.8,0,
Tee Higgins,25,CIN,WR,12,9,109,73,911,12.5,10,48,64.2,42,6.1,75.9,67.0,8.4,1,
George Pickens,23,PIT,WR,14,12,103,59,900,15.3,3,37,44.7,44,4.2,64.3,57.3,8.7,1,
Marvin Harrison Jr.,22,ARI,WR,17,16,116,62,885,14.3,8,43,50.0,60,3.6,52.1,53.4,7.6,1,
Jonnu Smith,29,MIA,TE,17,6,111,88,884,10.0,8,55,63.1,57,5.2,52.0,79.3,8.0,2,PB
Jordan Addison,22,MIN,WR,15,15,99,63,875,13.9,9,39,47.5,69,4.2,58.3,63.6,8.8,0,
Jayden Reed,24,GNB,WR,17,10,75,55,857,15.6,6,29,56.0,70,3.2,50.4,73.3,11.4,3,
DeVonta Smith,26,PHI,WR,13,13,89,68,833,12.3,8,42,61.8,49,5.2,64.1,76.4,9.4,0,
Alec Pierce,24,IND,WR,16,13,69,37,824,22.3,7,32,52.2,65,2.3,51.5,53.6,11.9,0,
Travis Kelce,35,KAN,TE,16,16,133,97,823,8.5,3,47,60.2,38,6.1,51.4,72.9,6.2,2,PB
Khalil Shakir,24,BUF,WR,15,9,100,76,821,10.8,4,35,53.0,52,5.1,54.7,76.0,8.2,1,
Michael Pittman Jr.,27,IND,WR,16,14,111,69,808,11.7,3,35,50.5,33,4.3,50.5,62.2,7.3,1,
Josh Downs,23,IND,WR,14,8,107,72,803,11.2,5,40,53.3,69,5.1,57.4,67.3,7.5,0,
Rashod Bateman,25,BAL,WR,17,14,72,45,756,16.8,9,35,52.8,59,2.6,44.5,62.5,10.5,0,
Keenan Allen,32,CHI,WR,15,15,121,70,744,10.6,7,43,47.1,45,4.7,49.6,57.9,6.1,1,
Jaylen Waddle,26,MIA,WR,15,15,83,58,744,12.8,2,38,54.2,63,3.9,49.6,69.9,9.0,0,
Rome Odunze,22,CHI,WR,17,12,101,54,734,13.6,3,37,45.5,47,3.2,43.2,53.5,7.3,2,
Sam LaPorta,23,DET,TE,16,16,83,60,726,12.1,7,39,56.6,52,3.8,45.4,72.3,8.7,0,
Quentin Johnston,23,LAC,WR,15,11,91,55,711,12.9,8,32,50.5,66,3.7,47.4,60.4,7.8,0,
Cooper Kupp,31,LAR,WR,12,11,100,67,710,10.6,6,28,47.0,69,5.6,59.2,67.0,7.1,1,
Tucker Kraft,24,GNB,TE,17,17,70,50,707,14.1,7,30,58.6,67,2.9,41.6,71.4,10.1,1,
Wan'Dale Robinson,23,NYG,WR,17,7,140,93,699,7.5,3,36,42.1,35,5.5,41.1,66.4,5.0,0,
Ray-Ray McCloud,28,ATL,WR,17,13,87,62,686,11.1,1,29,51.7,60,3.6,40.4,71.3,7.9,4,
Hunter Henry,30,NWE,TE,16,16,97,66,674,10.2,2,40,56.7,35,4.1,42.1,68.0,6.9,0,
Mark Andrews,29,BAL,TE,17,13,69,55,673,12.2,11,39,68.1,67,3.2,39.6,79.7,9.8,0,AP CPoY-19
Deebo Samuel,28,SFO,WR,15,15,81,51,670,13.1,3,28,40.7,76,3.4,44.7,63.0,8.3,2,
Tank Dell,25,HOU,WR,14,10,81,51,667,13.1,3,35,53.1,50,3.6,47.6,63.0,8.2,0,
Mike Gesicki,29,CIN,TE,17,3,83,65,665,10.2,2,38,62.7,47,3.8,39.1,78.3,8.0,1,
Zach Ertz,34,WAS,TE,17,17,91,66,654,9.9,7,38,63.7,37,3.9,38.5,72.5,7.2,1,AP CPoY-17
Pat Freiermuth,26,PIT,TE,17,11,78,65,653,10.0,7,32,62.8,30,3.8,38.4,83.3,8.4,3,
Xavier Worthy,21,KAN,WR,17,13,98,59,638,10.8,6,36,56.1,54,3.5,37.5,60.2,6.5,0,
Demario Douglas,24,NWE,WR,17,7,87,66,621,9.4,3,31,51.7,36,3.9,36.5,75.9,7.1,1,
Christian Watson,25,GNB,WR,15,15,53,29,620,21.4,2,21,47.2,60,1.9,41.3,54.7,11.7,1,
Adam Thielen,34,CAR,WR,10,10,62,48,615,12.8,5,28,58.1,40,4.8,61.5,77.4,9.9,0,
DeAndre Hopkins,32,2TM,WR,16,8,80,56,610,10.9,5,35,60.0,35,3.5,38.1,70.0,7.6,1,
Jalen Tolbert,25,DAL,WR,17,15,79,49,610,12.4,7,29,51.9,48,2.9,35.9,62.0,7.7,0,
Kyle Pitts,24,ATL,TE,17,15,74,47,602,12.8,4,21,41.9,52,2.8,35.4,63.5,8.1,0,
Romeo Doubs,24,GNB,WR,13,12,72,46,601,13.1,4,33,59.7,39,3.5,46.2,63.9,8.3,0,
Cade Otton,25,TAM,TE,14,14,87,59,600,10.2,4,31,51.7,44,4.2,42.9,67.8,6.9,2,
Tyler Lockett,32,SEA,WR,17,14,74,49,600,12.2,2,36,56.8,37,2.9,35.3,66.2,8.1,0,
De'Von Achane,23,MIA,RB,17,16,87,78,592,7.6,6,30,57.5,39,4.6,34.8,89.7,6.8,1,
Kayshon Boutte,22,NWE,WR,15,13,68,43,589,13.7,3,25,55.9,48,2.9,39.3,63.2,8.7,0,
Josh Palmer,25,LAC,WR,15,7,65,39,584,15.0,1,28,53.8,45,2.6,38.9,60.0,9.0,0,
Chris Godwin,28,TAM,WR,7,7,62,50,576,11.5,5,33,72.6,55,7.1,82.3,80.6,9.3,1,
Darius Slayton,27,NYG,WR,16,13,71,39,573,14.7,2,30,50.7,43,2.4,35.8,54.9,8.1,1,
Tutu Atwell,25,LAR,WR,17,5,62,42,562,13.4,0,29,59.7,50,2.5,33.1,67.7,9.1,0,
Keon Coleman,21,BUF,WR,13,12,57,29,556,19.2,4,22,43.9,64,2.2,42.8,50.9,9.8,0,
Juwan Johnson,28,NOR,TE,17,5,66,50,548,11.0,3,27,56.1,30,2.9,32.2,75.8,8.3,2,
Michael Wilson,24,ARI,WR,16,13,71,47,548,11.7,4,27,56.3,41,2.9,34.3,66.2,7.7,1,
Calvin Austin III,25,PIT,WR,17,8,58,36,548,15.2,4,18,53.4,55,2.1,32.2,62.1,9.4,1,
Amari Cooper,30,2TM,WR,14,10,85,44,547,12.4,4,25,42.4,30,3.1,39.1,51.8,6.4,0,
Alvin Kamara,29,NOR,RB,14,14,89,68,543,8.0,2,18,36.0,57,4.9,38.8,76.4,6.1,1,
Tre Tucker,23,LVR,WR,17,14,81,47,539,11.5,3,24,43.2,58,2.8,31.7,58.0,6.7,0,
Elijah Moore,24,CLE,WR,17,13,102,61,538,8.8,1,25,35.3,44,3.6,31.6,59.8,5.3,0,
Dalton Schultz,28,HOU,TE,17,13,85,53,532,10.0,2,26,49.4,32,3.1,31.3,62.4,6.3,0,
Allen Lazard,29,NYJ,WR,12,10,60,37,530,14.3,6,29,58.3,52,3.1,44.2,61.7,8.8,0,
Jahmyr Gibbs,22,DET,RB,17,4,63,52,517,9.9,4,25,55.6,54,3.1,30.4,82.5,8.2,1,PBAP OPoY-8
Olamide Zaccheaus,27,WAS,WR,17,6,64,45,506,11.2,3,26,51.6,49,2.6,29.8,70.3,7.9,3,
David Njoku,28,CLE,TE,11,11,97,64,505,7.9,5,23,39.2,29,5.8,45.9,66.0,5.2,0,
Demarcus Robinson,30,LAR,WR,17,17,64,31,505,16.3,7,27,46.9,46,1.8,29.7,48.4,7.9,0,
Marvin Mims,22,DEN,WR,17,2,52,39,503,12.9,6,14,48.1,93,2.3,29.6,75.0,9.7,1,PBAP-1
Noah Fant,27,SEA,TE,14,9,64,48,500,10.4,1,25,57.8,32,3.4,35.7,75.0,7.8,0,
Xavier Legette,23,CAR,WR,16,13,84,49,497,10.1,4,27,44.0,35,3.1,31.1,58.3,5.9,0,
Nick Westbrook-Ikhine,27,TEN,WR,17,9,60,32,497,15.5,9,25,46.7,98,1.9,29.2,53.3,8.3,0,
Stefon Diggs,31,HOU,WR,8,8,64,47,496,10.6,3,31,51.6,49,5.9,62.0,73.4,7.8,0,
Dallas Goedert,29,PHI,TE,10,10,52,42,496,11.8,2,20,55.8,61,4.2,49.6,80.8,9.5,2,
Jake Ferguson,25,DAL,TE,14,14,86,59,494,8.4,0,18,39.5,27,4.2,35.3,68.6,5.7,4,
Breece Hall,23,NYJ,RB,16,16,76,57,483,8.5,3,15,36.8,57,3.6,30.2,75.0,6.4,6,
Will Dissly,28,LAC,TE,15,8,64,50,481,9.6,2,24,54.7,29,3.3,32.1,78.1,7.5,0,
Chigoziem Okonkwo,25,TEN,TE,17,11,70,52,479,9.2,2,19,55.7,70,3.1,28.2,74.3,6.8,2,
Andrei Iosivas,25,CIN,WR,17,8,61,36,479,13.3,6,26,55.7,39,2.1,28.2,59.0,7.9,0,
Jalen Coker,23,CAR,WR,11,4,46,32,478,14.9,2,23,58.7,83,2.9,43.5,69.6,10.4,0,
Isaiah Likely,24,BAL,TE,16,9,58,42,477,11.4,6,26,60.3,49,2.6,29.8,72.4,8.2,1,
Austin Hooper,30,NWE,TE,17,8,59,45,476,10.6,3,25,62.7,38,2.6,28.0,76.3,8.1,2,
Devaughn Vele,27,DEN,WR,13,7,55,41,475,11.6,3,26,63.6,37,3.2,36.5,74.5,8.6,0,
Cole Kmet,25,CHI,TE,17,16,55,47,474,10.1,4,25,70.9,31,2.8,27.9,85.5,8.6,0,
Jalen McMillan,23,TAM,WR,13,12,58,37,461,12.5,8,23,55.2,33,2.8,35.5,63.8,7.9,0,
T.J. Hockenson,27,MIN,TE,10,9,62,41,455,11.1,0,30,54.8,34,4.1,45.5,66.1,7.3,0,AP CPoY-19
Noah Brown,28,WAS,WR,11,9,56,35,453,12.9,1,21,57.1,52,3.2,41.2,62.5,8.1,0,
Tyler Conklin,29,NYJ,TE,16,15,72,51,449,8.8,4,24,52.8,27,3.2,28.1,70.8,6.2,0,
Dalton Kincaid,25,BUF,TE,13,9,75,44,448,10.2,2,23,53.3,29,3.4,34.5,58.7,6.0,1,
Noah Gray,25,KAN,TE,17,10,49,40,437,10.9,5,25,67.3,35,2.4,25.7,81.6,8.9,0,
Tyreek Hill,29,MIA,WR,16,16,171,119,1799,15.1,13,83,57.9,78,7.4,112.4,69.6,10.5,1,PBAP-1AP MVP-6AP OPoY-2
CeeDee Lamb,24,DAL,WR,17,17,181,135,1749,13.0,12,80,63.5,92,7.9,102.9,74.6,9.7,3,PBAP-1AP OPoY-3
Amon-Ra St. Brown,24,DET,WR,16,16,164,119,1515,12.7,10,75,61.6,70,7.4,94.7,72.6,9.2,1,PBAP-1
Puka Nacua,22,LAR,WR,17,17,160,105,1486,14.2,6,68,56.9,80,6.2,87.4,65.6,9.3,1,PBAP-2AP ORoY-2
